Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-35.54	36.99
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-35.34	36.81
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151216\IN study with the NCC 0.40g in 1ml water-16_12_2015-10_47_07.avi	-34.60	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-32.94	38.68
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-32.15	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-32.02	40.18
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-31.52	38.88
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151216\IN study with the NCC 0.40g in 1ml water-16_12_2015-10_47_07.avi	-31.18	35.49
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-31.13	36.54
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-31.04	37.22
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-30.93	42.03
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-30.91	32.99
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-30.80	36.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-30.77	38.50
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-30.70	32.20
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-30.70	38.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151216\IN study with the NCC 0.40g in 1ml water-16_12_2015-11_52_19.avi	-30.50	39.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-30.50	37.39
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-30.50	38.19
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-30.50	38.75
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151216\IN study with the NCC 0.40g in 1ml water-16_12_2015-10_47_07.avi	-30.48	38.27
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-30.44	37.53
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151216\IN study with the NCC 0.40g in 1ml water-16_12_2015-11_52_19.avi	-30.40	36.39
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-30.40	36.85
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151216\IN study with the NCC 0.40g in 1ml water-16_12_2015-11_52_19.avi	-30.30	38.04
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-30.30	39.35
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151216\IN study with the NCC 0.40g in 1ml water-16_12_2015-10_47_07.avi	-30.20	36.53
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-30.10	37.93
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-30.10	38.03
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151216\IN study with the NCC 0.40g in 1ml water-16_12_2015-10_47_07.avi	-30.07	40.37
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151229\Heating of NCC samples 0.4g in 1 ml-29_12_2015-10_14_53.avi	-30.01	38.71
