Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-13_20_21.avi	-36.68	34.93
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-13_20_21.avi	-36.68	36.99
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-13_20_21.avi	-36.68	39.90
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.67	35.49
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.66	42.91
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.66	41.11
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-13_20_21.avi	-36.65	36.26
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-13_20_21.avi	-36.65	40.51
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.64	41.57
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.63	34.63
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-13_20_21.avi	-36.62	37.29
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-13_20_21.avi	-36.62	38.48
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.62	42.25
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.60	41.62
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.60	44.68
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.60	37.66
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.60	38.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.60	38.89
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.60	41.53
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.60	42.38
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.60	42.81
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.60	45.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.60	39.16
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.60	39.54
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.58	39.53
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.58	41.60
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.58	42.76
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.58	37.00
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.58	39.90
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.57	41.01
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.57	41.50
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.57	36.62
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.57	37.78
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.57	39.18
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.57	39.36
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.57	39.36
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.57	39.65
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.55	42.50
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.55	38.67
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.55	40.55
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.55	49.03
