Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-31.63	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-31.62	35.91
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-31.61	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-31.38	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-31.29	42.55
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-31.20	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-31.12	24.51
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-31.10	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-31.06	42.07
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-31.04	42.03
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-30.95	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-30.95	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-30.90	40.77
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-30.88	29.48
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-30.84	39.20
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-30.84	39.52
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-30.83	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-30.81	40.36
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-30.77	37.64
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-30.73	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-30.68	30.72
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-30.66	34.75
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-30.60	43.58
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-30.50	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-30.47	39.60
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-30.45	35.33
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-30.37	37.20
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-30.36	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-30.33	38.01
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-30.31	39.15
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-30.27	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-30.26	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-30.22	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-30.16	44.23
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-30.16	36.80
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-30.16	39.26
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-30.06	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-30.01	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-30.00	40.20
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-29.98	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-29.95	37.10
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-29.90	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-29.90	41.50
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-29.80	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-29.80	29.31
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-29.80	46.30
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-29.80	37.36
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-29.70	21.79
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-29.70	37.89
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-29.70	41.91
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-29.68	38.51
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-29.64	37.26
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-29.57	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-29.57	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-29.57	41.35
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-29.54	39.55
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-29.53	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-29.50	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-29.43	35.41
