Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-30.87	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-30.73	31.14
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-30.73	22.93
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-30.72	36.90
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-30.70	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-30.68	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-30.63	37.22
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-30.60	40.86
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-30.58	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-30.51	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-30.42	35.63
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-12_49_02.avi	-30.40	38.22
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-30.40	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-30.40	35.86
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-30.39	34.57
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-30.36	35.87
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-30.35	35.94
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-30.34	34.34
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-30.30	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-30.29	35.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-30.29	37.04
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-12_49_02.avi	-30.25	34.57
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-30.23	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-30.20	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-30.20	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-12_49_02.avi	-30.20	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-30.19	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-30.18	34.94
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-30.18	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-30.11	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-30.10	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-30.07	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-30.00	31.74
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-29.97	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-12_49_02.avi	-29.95	24.51
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-29.94	39.59
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-29.90	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-29.80	39.23
