Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-28.20	35.64
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-27.70	40.18
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-27.68	40.86
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-27.60	45.99
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-27.50	44.10
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-27.50	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-27.37	37.27
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-27.32	42.32
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-27.30	40.06
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-27.17	41.71
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-27.17	44.59
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-27.10	46.02
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-27.10	38.31
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-27.10	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-27.10	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-26.98	24.51
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-26.98	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-26.90	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-26.85	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-26.82	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-26.80	41.15
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-26.70	45.11
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-26.68	39.84
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-26.67	47.09
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-26.62	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-26.60	42.52
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-26.50	43.67
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-26.40	42.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-26.30	40.22
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-26.30	44.10
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-26.30	31.90
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-26.29	47.50
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-26.24	34.75
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-26.22	42.77
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-26.21	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-26.20	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-26.20	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-26.19	40.27
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-26.16	40.32
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-26.13	22.08
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-25.92	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-25.90	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-25.89	44.55
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-25.80	42.32
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-25.74	41.82
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-25.70	40.92
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-25.68	28.42
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-25.68	42.78
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-25.64	25.04
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-25.44	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-25.43	42.51
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-25.40	40.86
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-25.39	24.51
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-25.28	39.83
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-25.20	46.55
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-25.13	32.88
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-25.13	42.64
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-25.13	45.48
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-25.07	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-24.74	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-24.62	40.80
